Jamaal Charles KC  9   224 1,165   10  49  377 3   252.7
Marshawn Lynch SEA 9   273 1,229   11  37  304 2   247.8
Eddie Lacy GB  7   263 1,156   10  49  377 2   245.8
Adrian Peterson Upside Risk    MIN 5   270 1,295   12  35  232 1   244.2
Le'Veon Bell  Risk PIT 11  227 1,045   8   63  515 2   243.5
Matt Forte CHI 7   257 1,079   7   62  485 2   239.4
DeMarco Murray PHI 8   278 1,277   9   42  287 1   231.4
C.J. Anderson  DEN 7   259 1,165   9   46  346 1   230.1
Justin Forsett Upside  BAL 9   209 1,045   7   60  414 1   219.9
Jeremy Hill    CIN 7   241 1,135   8   32  236 1   205.1
Mark Ingram    NO  11  254 1,116   9   28  175 0   197.1
Lamar Miller   MIA 5   219 1,031   7   35  236 1   190.2
LeSean McCoy  Risk BUF 8   246 1,033   7   34  245 1   188.8
Frank Gore Upside Risk IND 10  211 885 8   35  275 1   185.5
Melvin Gordon  SD  10  223 1,026   6   27  209 1   177.0
Andre Ellington  Risk  ARI 9   167 767 4   47  385 2   174.7
Latavius Murray Upside OAK 6   205 965 6   28  225 1   173.0
Carlos Hyde    SF  10  223 957 7   26  175 0   168.2
Jonathan Stewart   CAR 5   202 887 6   28  209 1   163.6
Giovani Bernard    CIN 7   143 587 4   51  411 2   161.3
Ameer Abdullah DET 9   158 678 5   42  299 2   160.7
T.J. Yeldon Upside JAC 8   197 845 5   31  227 1   158.7
Alfred Morris  WAS 8   227 1,020   7   14  114 0   158.4
LeGarrette Blount Upside   NE  4   222 977 9   7   41  0   157.3
Rashad Jennings    NYG 11  194 813 6   28  204 1   155.7
Joseph Randle  DAL 6   177 884 6   27  195 0   155.4
Isaiah Crowell CLE 11  199 836 6   23  182 1   155.3
Chris Ivory    NYJ 5   193 848 6   29  187 0   154.0
C.J. Spiller   NO  11  99  446 2   61  476 3   152.7
Doug Martin    TB  6   197 768 6   29  178 1   151.1
Tevin Coleman Upside   ATL 10  166 715 5   31  235 1   144.5
Todd Gurley  Risk  STL 6   174 816 6   18  136 0   140.2
Joique Bell  Risk  DET 9   151 634 6   25  215 1   139.4
Arian Foster  Risk HOU 9   148 667 5   19  155 1   123.7
Devonta Freeman    ATL 10  134 535 3   39  266 1   123.6
Shane Vereen   NYG 11  103 424 2   48  355 1   117.9
Darren Sproles PHI 8   60  288 2   48  415 1   112.3
Danny Woodhead SD  10  61  245 1   51  422 2   108.2
Alfred Blue    HOU 9   165 645 3   14  111 1   106.6
Roy Helu   OAK 6   79  346 2   42  310 1   104.6
Duke Johnson   CLE 11  111 489 3   28  213 0   102.2
Darren McFadden    DAL 6   106 456 4   21  138 1   97.9
Charles Sims   TB  6   99  406 3   32  214 0   96.0
Reggie Bush    SF  10  67  276 1   44  342 1   95.8
Bishop Sankey  TEN 4   137 547 3   17  125 0   93.7
Ryan Mathews Upside    PHI 8   120 515 4   15  115 0   92.5
Knile Davis    KC  9   128 485 4   12  94  0   87.9
Tre Mason  STL 6   115 505 3   16  118 0   86.3
Damien Williams    MIA 5   103 403 3   19  145 0   82.3
Denard Robinson    JAC 8   90  379 1   27  189 1   80.3
